date,agegroup,are_covid19_incidence
2022-W43,00+,327
2022-W43,00-04,38
2022-W43,05-14,75
2022-W43,15-34,308
2022-W43,35-59,499
2022-W43,60+,268
2022-W44,00+,205
2022-W44,00-04,36
2022-W44,05-14,32
2022-W44,15-34,224
2022-W44,35-59,318
2022-W44,60+,142
2022-W45,00+,187
2022-W45,00-04,36
2022-W45,05-14,47
2022-W45,15-34,192
2022-W45,35-59,270
2022-W45,60+,154
2022-W46,00+,146
2022-W46,00-04,30
2022-W46,05-14,56
2022-W46,15-34,159
2022-W46,35-59,215
2022-W46,60+,104
2022-W47,00+,149
2022-W47,00-04,28
2022-W47,05-14,38
2022-W47,15-34,168
2022-W47,35-59,230
2022-W47,60+,96
2022-W48,00+,176
2022-W48,00-04,19
2022-W48,05-14,32
2022-W48,15-34,170
2022-W48,35-59,280
2022-W48,60+,131
2022-W49,00+,178
2022-W49,00-04,27
2022-W49,05-14,40
2022-W49,15-34,167
2022-W49,35-59,287
2022-W49,60+,128
2022-W50,00+,191
2022-W50,00-04,19
2022-W50,05-14,24
2022-W50,15-34,227
2022-W50,35-59,289
2022-W50,60+,130
2022-W51,00+,185
2022-W51,00-04,25
2022-W51,05-14,15
2022-W51,15-34,183
2022-W51,35-59,279
2022-W51,60+,155
2022-W52,00+,141
2022-W52,00-04,11
2022-W52,05-14,7
2022-W52,15-34,128
2022-W52,35-59,240
2022-W52,60+,98
2023-W01,00+,152
2023-W01,00-04,30
2023-W01,05-14,12
2023-W01,15-34,163
2023-W01,35-59,229
2023-W01,60+,117
2023-W02,00+,95
2023-W02,00-04,22
2023-W02,05-14,10
2023-W02,15-34,93
2023-W02,35-59,154
2023-W02,60+,66
2023-W03,00+,76
2023-W03,00-04,17
2023-W03,05-14,26
2023-W03,15-34,99
2023-W03,35-59,113
2023-W03,60+,41
2023-W04,00+,94
2023-W04,00-04,36
2023-W04,05-14,41
2023-W04,15-34,123
2023-W04,35-59,137
2023-W04,60+,47
2023-W05,00+,122
2023-W05,00-04,21
2023-W05,05-14,36
2023-W05,15-34,163
2023-W05,35-59,182
2023-W05,60+,64
2023-W06,00+,141
2023-W06,00-04,11
2023-W06,05-14,28
2023-W06,15-34,173
2023-W06,35-59,218
2023-W06,60+,82
2023-W07,00+,180
2023-W07,00-04,24
2023-W07,05-14,28
2023-W07,15-34,231
2023-W07,35-59,275
2023-W07,60+,105
2023-W08,00+,243
2023-W08,00-04,40
2023-W08,05-14,21
2023-W08,15-34,346
2023-W08,35-59,365
2023-W08,60+,123
2023-W09,00+,255
2023-W09,00-04,35
2023-W09,05-14,47
2023-W09,15-34,328
2023-W09,35-59,404
2023-W09,60+,127
2023-W10,00+,191
2023-W10,00-04,36
2023-W10,05-14,30
2023-W10,15-34,234
2023-W10,35-59,283
2023-W10,60+,125
2023-W11,00+,177
2023-W11,00-04,46
2023-W11,05-14,39
2023-W11,15-34,213
2023-W11,35-59,272
2023-W11,60+,103
2023-W12,00+,147
2023-W12,00-04,25
2023-W12,05-14,31
2023-W12,15-34,178
2023-W12,35-59,229
2023-W12,60+,84
2023-W13,00+,116
2023-W13,00-04,18
2023-W13,05-14,20
2023-W13,15-34,125
2023-W13,35-59,186
2023-W13,60+,73
2023-W14,00+,55
2023-W14,00-04,7
2023-W14,05-14,3
2023-W14,15-34,52
2023-W14,35-59,91
2023-W14,60+,40
2023-W15,00+,71
2023-W15,00-04,14
2023-W15,05-14,10
2023-W15,15-34,79
2023-W15,35-59,109
2023-W15,60+,48
2023-W16,00+,53
2023-W16,00-04,9
2023-W16,05-14,12
2023-W16,15-34,58
2023-W16,35-59,74
2023-W16,60+,43
2023-W17,00+,38
2023-W17,00-04,3
2023-W17,05-14,7
2023-W17,15-34,42
2023-W17,35-59,61
2023-W17,60+,23
2023-W18,00+,32
2023-W18,00-04,6
2023-W18,05-14,2
2023-W18,15-34,40
2023-W18,35-59,47
2023-W18,60+,23
2023-W19,00+,32
2023-W19,00-04,11
2023-W19,05-14,2
2023-W19,15-34,34
2023-W19,35-59,51
2023-W19,60+,22
2023-W20,00+,16
2023-W20,00-04,0
2023-W20,05-14,2
2023-W20,15-34,18
2023-W20,35-59,24
2023-W20,60+,10
2023-W21,00+,20
2023-W21,00-04,5
2023-W21,05-14,1
2023-W21,15-34,20
2023-W21,35-59,33
2023-W21,60+,14
2023-W22,00+,18
2023-W22,00-04,2
2023-W22,05-14,0
2023-W22,15-34,28
2023-W22,35-59,25
2023-W22,60+,10
2023-W23,00+,15
2023-W23,00-04,5
2023-W23,05-14,0
2023-W23,15-34,22
2023-W23,35-59,19
2023-W23,60+,9
2023-W24,00+,11
2023-W24,00-04,5
2023-W24,05-14,5
2023-W24,15-34,16
2023-W24,35-59,13
2023-W24,60+,7
2023-W25,00+,7
2023-W25,00-04,0
2023-W25,05-14,2
2023-W25,15-34,14
2023-W25,35-59,8
2023-W25,60+,5
2023-W26,00+,6
2023-W26,00-04,4
2023-W26,05-14,2
2023-W26,15-34,7
2023-W26,35-59,8
2023-W26,60+,5
2023-W27,00+,8
2023-W27,00-04,2
2023-W27,05-14,8
2023-W27,15-34,16
2023-W27,35-59,9
2023-W27,60+,3
2023-W28,00+,7
2023-W28,00-04,2
2023-W28,05-14,1
2023-W28,15-34,13
2023-W28,35-59,9
2023-W28,60+,5
2023-W29,00+,11
2023-W29,00-04,2
2023-W29,05-14,2
2023-W29,15-34,14
2023-W29,35-59,16
2023-W29,60+,6
2023-W30,00+,7
2023-W30,00-04,0
2023-W30,05-14,3
2023-W30,15-34,7
2023-W30,35-59,13
